event,date,time_et,ts_utc
NFP,2024-01-05,08:30,2024-01-05T13:30:00+00:00
CPI,2024-01-11,08:30,2024-01-11T13:30:00+00:00
FOMC,2024-01-31,14:00,2024-01-31T19:00:00+00:00
NFP,2024-02-02,08:30,2024-02-02T13:30:00+00:00
CPI,2024-02-13,08:30,2024-02-13T13:30:00+00:00
NFP,2024-03-08,08:30,2024-03-08T13:30:00+00:00
CPI,2024-03-12,08:30,2024-03-12T12:30:00+00:00
FOMC,2024-03-20,14:00,2024-03-20T18:00:00+00:00
NFP,2024-04-05,08:30,2024-04-05T12:30:00+00:00
CPI,2024-04-10,08:30,2024-04-10T12:30:00+00:00
FOMC,2024-05-01,14:00,2024-05-01T18:00:00+00:00
NFP,2024-05-03,08:30,2024-05-03T12:30:00+00:00
CPI,2024-05-15,08:30,2024-05-15T12:30:00+00:00
NFP,2024-06-07,08:30,2024-06-07T12:30:00+00:00
CPI,2024-06-12,08:30,2024-06-12T12:30:00+00:00
FOMC,2024-06-12,14:00,2024-06-12T18:00:00+00:00
NFP,2024-07-05,08:30,2024-07-05T12:30:00+00:00
CPI,2024-07-11,08:30,2024-07-11T12:30:00+00:00
FOMC,2024-07-31,14:00,2024-07-31T18:00:00+00:00
NFP,2024-08-02,08:30,2024-08-02T12:30:00+00:00
CPI,2024-08-14,08:30,2024-08-14T12:30:00+00:00
NFP,2024-09-06,08:30,2024-09-06T12:30:00+00:00
CPI,2024-09-11,08:30,2024-09-11T12:30:00+00:00
FOMC,2024-09-18,14:00,2024-09-18T18:00:00+00:00
NFP,2024-10-04,08:30,2024-10-04T12:30:00+00:00
CPI,2024-10-10,08:30,2024-10-10T12:30:00+00:00
NFP,2024-11-01,08:30,2024-11-01T12:30:00+00:00
FOMC,2024-11-07,14:00,2024-11-07T19:00:00+00:00
CPI,2024-11-13,08:30,2024-11-13T13:30:00+00:00
NFP,2024-12-06,08:30,2024-12-06T13:30:00+00:00
CPI,2024-12-11,08:30,2024-12-11T13:30:00+00:00
FOMC,2024-12-18,14:00,2024-12-18T19:00:00+00:00
NFP,2025-01-10,08:30,2025-01-10T13:30:00+00:00
CPI,2025-01-15,08:30,2025-01-15T13:30:00+00:00
FOMC,2025-01-29,14:00,2025-01-29T19:00:00+00:00
NFP,2025-02-07,08:30,2025-02-07T13:30:00+00:00
CPI,2025-02-12,08:30,2025-02-12T13:30:00+00:00
NFP,2025-03-07,08:30,2025-03-07T13:30:00+00:00
CPI,2025-03-12,08:30,2025-03-12T12:30:00+00:00
FOMC,2025-03-19,14:00,2025-03-19T18:00:00+00:00
NFP,2025-04-04,08:30,2025-04-04T12:30:00+00:00
CPI,2025-04-10,08:30,2025-04-10T12:30:00+00:00
NFP,2025-05-02,08:30,2025-05-02T12:30:00+00:00
FOMC,2025-05-07,14:00,2025-05-07T18:00:00+00:00
CPI,2025-05-13,08:30,2025-05-13T12:30:00+00:00
NFP,2025-06-06,08:30,2025-06-06T12:30:00+00:00
CPI,2025-06-11,08:30,2025-06-11T12:30:00+00:00
FOMC,2025-06-18,14:00,2025-06-18T18:00:00+00:00
NFP,2025-07-03,08:30,2025-07-03T12:30:00+00:00
